State,Name,Subname,Stats 55% 100%,HP 55%,HP 100%,ATK 55%,ATK 100%,DEF 55%,DEF 100%,Leader Skill,Passive Name,Passive Skill,Active Name,Active Skill,Super Attack (12 Ki) Effect,Super Attack (18 Ki) Effect,Links,Categories,Transformation Condition,Release Date,Ki Multiplier,DMG Multiplier
Base,Team Turles,Destroyers of the Universe,"HP 20,175 23,175 | ATK 17,230 20,630 | DEF 11,125 13,725","20,175","23,175","17,230","20,630","11,125","13,725","""Terrifying Conquerors"" Category Ki +4 and HP, ATK & DEF +150%; or Extreme STR Type Ki +4 and HP, ATK & DEF +100%",Super Combat Group,"ATK & DEF +180%, Ki +1 (up to +5) plus an additional ATK +10% (up to 50%) and reduces damage received by 10% (up to 50%) per ""Terrifying Conquerors"" or ""Planetary Destruction"" Category ally on the team (depending on which Category has more members), Plus an additional ATK & DEF +100% when performing a Super Attack and if there is an ""Earth-Bred Fighters"" Category enemy, plus an additional ATK +50%, ""Terrifying Conquerors"" or ""Planetary Destruction"" Category allies' Ki +3 and ATK & DEF +50%, Plus an additional Ki +6 and attacks effective against all Types when the target enemy is in ""ATK Down"" status or stunned, Attacks effective against all Types when Ki is 20 or more, All attacks become critical hits and launches an additional Super Attack when Ki is 24",Fruit of the Tree of Might,"Can be activated when HP is 60% or less, or starting from the 8th turn from the start of battle (up to 2 times) Ki +24 for 1 turn",Raises ATK & DEF for 1 turn and causes colossal damage with a high chance of stunning the enemy,Greatly raises ATK & DEF for 1 turn and causes mega-colossal damage with a great chance of stunning the enemy,"Brutal Beatdown, Prepared for Battle, Big Bad Bosses, Thirst for Conquest, Destroyer of the Universe, Fierce Battle, Legendary Power","Final Trump Card, Joined Forces, Movie Bosses, Space-Traveling Warriors, Terrifying Conquerors, Planetary Destruction",,"Aug 23, 2024",200%,450%
Base,Cell Max,Ultimate Weapon That Wreaks Destruction and Doom,"HP 21,238 24,238 | ATK 16,935 20,335 | DEF 11,338 13,938","21,238","24,238","16,935","20,335","11,338","13,938","""Artificial Life Forms"" or ""Super Bosses"" Category Ki +4 and HP, ATK & DEF +150%",Ultimate Weapon Out of Control,"Activates the Entrance Animation (once only) and ATK & DEF +100%, guards all attacks and launches an additional attack that has a high chance of becoming a Super Attack for 3 turns from the character's entry turn when there is another ""Artificial Life Forms"" or ""Super Bosses"" Category ally on the team upon the character's entry, Ki +5 and ATK & DEF +300%, Plus an additional Ki +1 (up to +5) and ATK +20% (up to 100%) with each attack performed, Plus an additional Ki +1 (up to +5) and DEF +20% (up to 100%) with each attack received, Launches an additional attack that has a high chance of becoming a Super Attack, Plus an additional DEF +250% and reduces damage received by 30% when all allies attacking in the same turn are ""Artificial Life Forms"", ""Super Bosses"" or ""Movie Bosses"" Category characters, Plus an additional ATK +250% and chance of performing a critical hit +30% when there are no ""Super Heroes"" Category allies attacking in the same turn, Launches an additional Super Attack within the same turn after receiving a Super Attack",Explosive Scream,"Can be activated when all allies attacking in the same turn are ""Artificial Life Forms"" or ""Super Bosses"" Category characters starting from the 4th turn from the start of battle, or when all allies attacking in the same turn are Extreme Class starting from the 6th turn from the start of battle (once only) Massively raises ATK temporarily and causes ultimate damage to enemy; DEF +999% and directs enemy's attack towards the character for 1 turn",Greatly raises ATK for 1 turn and causes colossal damage to enemy,"Greatly raises ATK for 1 turn, causes mega-colossal damage to all enemies and greatly lowers ATK & DEF","Android Assault, Infighter, Berserker, Big Bad Bosses, Nightmare, Fierce Battle, Legendary Power","Androids, Artificial Life Forms, Uncontrollable Power, Final Trump Card, Super Bosses, Movie Bosses, Battle of Fate",,"Aug 21, 2024",200%,570%
Base,Toppo,Determination to Protect Universe 11,"HP 14,205 17,605 | ATK 13,388 16,388 | DEF 8,788 11,388","14,205","17,605","13,388","16,388","8,788","11,388","""Special Pose"" or ""Tournament Participants"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Defenders of Justice"", ""Space-Traveling Warriors"" or ""Final Trump Card"" Category",All the Justice That Remained,"Activates the Entrance Animation (once only), reduces damage received by 11% for the rest of battle and guards all attacks for 3 turns from the character's entry turn when there are another 2 or more ""Special Pose"" or ""Defenders of Justice"" Category allies on the team upon the character's entry, ATK & DEF +200%, Plus an additional ATK +150% when performing a Super Attack, Reduces damage received by 20%, Changes INT Ki Spheres to Rainbow Ki Spheres when HP is 50% or more, ""Special Pose"" or ""Defenders of Justice"" Category allies' Ki +1 and ATK & DEF +30%, Plus an additional DEF +50% within the same turn after receiving an attack, plus an additional DEF +200% and guards all attacks as the 1st attacker in a turn, Plus an additional ATK & DEF +100% when performing a Super Attack as the 2nd or 3rd attacker in a turn",Transformation,"Can be activated when there is another ""Special Pose"" or ""Defenders of Justice"" Category ally attacking in the same turn starting from the 4th turn from the start of battle, or starting from the 6th turn from the start of battle (once only) Transforms",Greatly raises ATK & DEF for 1 turn and causes immense damage to enemy,,"Supreme Warrior, Tough as Nails, Shocking Speed, Hero of Justice, Signature Pose, Tournament of Power, Fierce Battle","Universe Survival Saga, Transformation Boost, Realm of Gods, Mastered Evolution, Final Trump Card, Universe 11, Super Bosses, Tournament Participants, Space-Traveling Warriors, Defenders of Justice, Special Pose","Can be activated when there is another ""Special Pose"" or ""Defenders of Justice"" Category ally attacking in the same turn starting from the 4th turn from the start of battle, or starting from the 6th turn from the start of battle (once only)","Aug 13, 2024",150%,505%
Base,Android #17 (Team Universe 7),Universe 7's All-Out Offensive,"HP 21,025 24,025 | ATK 18,040 21,040 | DEF 10,063 13,063","21,025","24,025","18,040","21,040","10,063","13,063","""Representatives of Universe 7"" Category Ki +4 and HP, ATK & DEF +170%; or Super INT Type Ki +4 and HP, ATK & DEF +100%",Like a Human,"ATK & DEF +177%, Ki +1 (up to +5), reduces damage received by 7% (up to 35%) and chance of performing a critical hit +7% (up to 35%) per ""Representatives of Universe 7"" Category ally on the team, Plus an additional ATK & DEF +77%, an additional damage reduction of 17% and an additional chance of performing a critical hit +17% when there are 5 or more ""Representatives of Universe 7"" Category allies on the team, Randomly changes Ki Spheres of a certain Type (INT excluded) to Rainbow Ki Spheres when HP is 77% or less (once only), Plus an additional ATK & DEF +77% when Ki is 17 or more, Plus an additional ATK & DEF +77% and launches an additional Super Attack when Ki is 22 or more, Plus an additional Ki +3 per Rainbow Ki Sphere obtained, Ki +1 and ATK & DEF +7% for all allies (self excluded) plus an additional chance of performing a critical hit +7% per Rainbow Ki Sphere obtained",Universe 7's Total Offensive,"Can be activated when facing only 1 enemy, whose HP is 50% or less, if there are 5 or more ""Representatives of Universe 7"" Category allies on the team, with 2 or more of them (self excluded) attacking in the same turn (once only) Greatly raises ATK temporarily and causes ultimate damage to enemy; all allies' Ki +7 for 1 turn","Massively raises ATK for 1 turn, causes colossal damage to enemy and raises allies' ATK & DEF by 30% for 1 turn",Causes mega-colossal damage to enemy; raises allies' ATK & DEF by 30% and chance of performing a critical hit by 7% for 2 turns,"Android Assault, Infinite Energy, Solid Support, Shocking Speed, Tournament of Power, Fierce Battle, Legendary Power","Universe Survival Saga, Joined Forces, Representatives of Universe 7, Tournament Participants",,"Aug 8, 2024",200%,420%
Base,Golden Frieza (Angel) & Android #17,Very Last Possibility,"HP 22,725 26,125 | ATK 17,700 20,700 | DEF 9,638 12,238","22,725","26,125","17,700","20,700","9,638","12,238","""Universe Survival Saga"" or ""Joined Forces"" Category Ki +4 and HP, ATK & DEF +160%",Last Remaining Ki,"ATK & DEF +177%, Ki +7 and reduces damage received by 50% for 1 turn from the character's entry turn, Launches 2 additional attacks, each of which has a high chance of becoming a Super Attack, Launches an additional Super Attack and great chance of performing a critical hit when HP is 77% or less, Ki +1 (up to +7) plus an additional ATK & DEF +11% (up to 77%) with each attack performed, Plus an additional Ki +1 (up to +5) and ATK & DEF +20% (up to 100%) with each Super Attack performed, Chance of performing a critical hit +17% and reduces damage received by 17% within the same turn with each attack performed",Universe 7's Survival Strategy,"Can be activated after performing 4 or more Super Attacks in battle (once only) Ki +7, DEF +77% and performs critical hits for 1 turn",Massively raises ATK for 1 turn and causes colossal damage to enemy,"Greatly raises ATK & DEF for 1 turn, causes mega-colossal damage to enemy and greatly lowers ATK & DEF","Tough as Nails, Brainiacs, Solid Support, Shocking Speed, Tournament of Power, Fierce Battle, Legendary Power","Universe Survival Saga, Joined Forces, Representatives of Universe 7, Tournament Participants, Battle of Wits, Battle of Fate",,"Aug 8, 2024",200%,450%
Base,Jiren (Full Power),Majesty of the Mighty,"HP 18,263 20,863 | ATK 18,125 21,525 | DEF 11,338 14,338","18,263","20,863","18,125","21,525","11,338","14,338","""Universe 11"" or ""Universe Survival Saga"" Category Ki +3 and HP, ATK & DEF +170%",Value of Victory,"ATK & DEF +300%, Reduces damage received by 30% for 1 turn from the character's entry turn, Plus an additional ATK & DEF +100% and guards all attacks if HP is 40% or more at start of turn, If HP is 80% or less at start of turn starting from the 5th turn from the character's entry turn, or if HP is 40% or less at start of turn, plus an additional ATK & DEF +200% starting from that turn, Ki +3 with each attack received (up to +11), Launches an additional Super Attack starting from the turn in which the character receives the 3rd attack in battle, Attacks effective against all Types, Performs a critical hit when the target enemy is in ""ATK Down"" status, in ""DEF Down"" status or stunned, Disables the attacked enemy's action once within the turn when Ki is 24",Strength Is Everything,"Can be activated after the character receives an attack 5 or more times in battle (once only) ATK & DEF +30%, all enemies' ATK & DEF -30% and stuns all enemies for 1 turn","Greatly raises ATK & DEF for 1 turn, causes colossal damage to enemy and greatly lowers DEF","Massively raises ATK & DEF for 1 turn, causes mega-colossal damage and massively lowers DEF with a high chance of stunning the enemy","Supreme Warrior, Shocking Speed, Infighter, Godly Power, Tournament of Power, Fierce Battle, Legendary Power","Universe Survival Saga, Realm of Gods, Full Power, Powerful Comeback, Universe 11, Super Bosses, Tournament Participants, Space-Traveling Warriors, Defenders of Justice, Battle of Fate",,"Aug 8, 2024",200%,450%
Base,Beerus (Pajamas),God of Destruction's Holiday,"HP 17,330 20,730 | ATK 13,576 16,576 | DEF 9,915 12,515","17,330","20,730","13,576","16,576","9,915","12,515","""Planetary Destruction"" Category Ki +3 and HP, ATK & DEF +120%",Dozing God of Destruction,"Unable to attack, DEF +200%, Reduces damage received by 50% and with each turn passed, damage reduction rate -10% (no more than -50%), Within the character's attacking turn, all allies' ATK +40% and with each turn passed, plus an additional ATK +10% (up to 30%), Changes PHY Ki Spheres to Rainbow Ki Spheres, Plus an additional DEF +50% per Ki Sphere obtained",God of Destruction Waking Up,"Can be activated starting from the 5th turn from the start of battle (once only) Wakes up from slumber and, for 1 turn, directs enemy's attack towards the character",,,"Godly Power, Prodigies, Connoisseur, The Innocents, Shocking Speed, Shattering the Limit, Legendary Power","Realm of Gods, Worthy Rivals, Siblings' Bond, Bond of Master and Disciple, Super Bosses, Space-Traveling Warriors, Legendary Existence, Planetary Destruction",Can be activated starting from the 5th turn from the start of battle (once only),"Jul 31, 2024",200%,
Base,Gohan (Beast),Newfound Power Beyond the Ultimate,"HP 18,475 21,475 | ATK 17,275 20,675 | DEF 12,294 14,894","18,475","21,475","17,275","20,675","12,294","14,894","""Super Heroes"", ""Bond of Master and Disciple"" or ""Miraculous Awakening"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Entrusted Will"" or ""Movie Heroes"" Category",Unrestrained Beast,"Activates the Entrance Animation upon the character's entry (once only) and Ki +8, chance of performing a critical hit +40% and reduces damage received by 40% for 5 turns from the character's entry turn, Ki +3, ATK & DEF +250% and guards all attacks, Plus an additional ATK +50% when attacking and if Ki is 24, chance of performing a critical hit +20%, Plus an additional DEF +80% when receiving an attack and if Ki is 24, reduces damage received by 20%, Plus an additional Ki +1 per Ki Sphere obtained, Launches an additional Super Attack and all allies' Ki +3 (self excluded) within the same turn after receiving an attack, Plus an additional ATK & chance of performing a critical hit +20% within the same turn and Ki +1 (up to +5) with each attack received, Chance of performing a critical hit +20%, reduces damage received by 20% and all allies' Ki +2 starting from the character's next attacking turn after the character attacks 5 or more times in battle or receives an attack 8 or more times in battle",Gohan's Confidence,"Can be activated starting from next attacking turn after the character receives an attack (once only) Ki +24, DEF +158%, directs enemy's attack towards the character and all attacks become critical hits for 1 turn",Greatly raises ATK and raises DEF for 1 turn and causes colossal damage to enemy,"Greatly raises ATK, raises DEF for 4 turns and causes mega-colossal damage to enemy","All in the Family, Saiyan Warrior Race, Infighter, Shocking Speed, Prepared for Battle, Fierce Battle, Legendary Power","Hybrid Saiyans, Goku's Family, Full Power, Demonic Power, Miraculous Awakening, Bond of Parent and Child, Siblings' Bond, Bond of Master and Disciple, Super Heroes, Movie Heroes, Earth-Bred Fighters, Exploding Rage, Connected Hope, Entrusted Will, Battle of Fate",,"Jul 26, 2024",200%,520%
Base,Super Saiyan God SS Goku (Kaioken) & Super Saiyan God SS Evolved Vegeta,Beyond Boundless Power,"HP 17,625 21,025 | ATK 18,295 21,295 | DEF 11,444 14,044","17,625","21,025","18,295","21,295","11,444","14,044","""All-Out Struggle"" or ""Joined Forces"" Category Ki +3 and HP, ATK & DEF +170%",Warped Cooperation,"Ki +4 and ATK & DEF +170%, Randomly changes Ki Spheres of a certain Type to Rainbow Ki Spheres when there is another ""Super Heroes"" Category ally on the team, Plus an additional Ki +2 per Rainbow Ki Sphere obtained, Plus an additional ATK & DEF +7% per Ki Sphere obtained, Chance of performing a critical hit +7%, reduces damage received by 7% and launches an additional attack that has a high chance of becoming a Super Attack (up to 3 additional attacks within a turn) per Rainbow Ki Sphere obtained, Plus an additional ATK & DEF +70% if Ki is 18 or more, Reduces damage received by 70% when HP is 50% or less (once only) and performs a critical hit if Ki is 24","Body, Soul and Power Unleashed","Can be activated when HP is 50% or less (once only) Ki +24, ATK +70% and DEF -50% for 1 turn","Greatly raises ATK & DEF for 1 turn, causes colossal damage to enemy and lowers ATK & DEF","Massively raises ATK & DEF for 1 turn, causes mega-colossal damage to enemy and greatly lowers ATK & DEF","Super Saiyan, Godly Power, Warrior Gods, Kamehameha, Tournament of Power, Fierce Battle, Legendary Power","Universe Survival Saga, Pure Saiyans, Power Beyond Super Saiyan, Kamehameha, Realm of Gods, Full Power, Powerful Comeback, Joined Forces, Bond of Parent and Child, Representatives of Universe 7, Super Heroes, Tournament Participants, All-Out Struggle",,"Jul 22, 2024",200%,450%
Base,Captain Ginyu (Ginyu Force),Unprecedented Elite Team,"HP 20,600 23,600 | ATK 16,000 19,000 | DEF 12,825 15,825","20,600","23,600","16,000","19,000","12,825","15,825","""Ginyu Force"" or ""Special Pose"" Category Ki +4 and HP, ATK & DEF +150%",Supreme Pose,"Activates the Entrance Animation (once only), Ki +3, ATK & DEF +150% and launches an additional Super Attack for the rest of battle and all allies' ATK & DEF +25% (self excluded) for 3 turns from the character's entry turn when there are 5 or more ""Special Pose"" Category allies on the team upon the character's entry, Ki +2 and ATK & DEF +150%, Guards all attacks and attacks effective against all Types when all allies attacking in the same turn are ""Special Pose"" Category characters, Reduces damage received by 7% (up to 35%) before attacking and chance of performing a critical hit +7% (up to 35%) when attacking per ""Special Pose"" Category ally on the team, ""Special Pose"" Category allies' ATK & DEF +25% (self excluded) for 2 turns with an INT or Rainbow Ki Sphere obtained, Plus an additional ATK & DEF +50% within the same turn with a Type Ki Sphere obtained (INT excluded)",Special Fighting Pose,"Can be activated when all allies are ""Ginyu Force"" Category characters starting from the 3rd turn from the character's entry turn, or when all allies are ""Special Pose"" Category characters starting from the 5th turn from the character's entry turn (once only) ATK & DEF +25% in battle; all allies' ATK & DEF +15% (self excluded) in battle","Greatly raises DEF for 1 turn, causes colossal damage and stuns the enemy",Massively raises ATK & DEF for 1 turn and causes mega-colossal damage to enemy; raises allies' ATK & DEF by 30% for 1 turn (self excluded),"Gentleman, Respect, The Ginyu Force, Loyalty, Signature Pose, Fierce Battle, Legendary Power","Planet Namek Saga, Joined Forces, Ginyu Force, Space-Traveling Warriors, Dragon Ball Seekers, Terrifying Conquerors, Special Pose",,"Jun 20, 2024",200%,375%
Base,Bardock,Raging Counterattack,"HP 18,904 21,504 | ATK 17,773 20,773 | DEF 10,108 13,508","18,904","21,504","17,773","20,773","10,108","13,508","""Revenge"" or ""Low-Class Warrior"" Category Ki +4 and HP, ATK & DEF +170%",Destined Opponent,"Ki +2 and ATK & DEF +150%, Plus an additional ATK +50% when attacking, Plus an additional ATK +20% (up to 100%) and reduces damage received by 10% (up to 50%) per ""Low-Class Warrior"" Category ally on the team, Plus an additional ATK +50% and attacks effective against all Types when there is a ""Wicked Bloodline"" Category enemy, Launches an additional attack that has a high chance of becoming a Super Attack when there is another ""Low-Class Warrior"" Category ally attacking in the same turn",Transformation,"Can be activated starting from the 4th turn from the start of battle, or can be activated at any time when there is a ""Wicked Bloodline"" Category enemy (once only) Transforms",Greatly raises DEF and causes immense damage to enemy,,"Saiyan Warrior Race, The Saiyan Lineage, Saiyan Pride, Family Ties, Experienced Fighters, Prepared for Battle, Fierce Battle","Pure Saiyans, Goku's Family, Super Saiyans, Transformation Boost, Powerful Comeback, Miraculous Awakening, Bond of Parent and Child, Low-Class Warrior, Resurrected Warriors, Time Travelers, Storied Figures, Legendary Existence, Revenge, Exploding Rage, Crossover","Can be activated starting from the 4th turn from the start of battle, or can be activated at any time when there is a ""Wicked Bloodline"" Category enemy (once only)","Jun 7, 2024",150%,505%
Base,Goku (Youth) & Krillin (Youth) & Bulma (Youth),Adventure with Friends!,"HP 13,928 16,528 | ATK 15,196 18,596 | DEF 9,591 12,591","13,928","16,528","15,196","18,596","9,591","12,591","""DB Saga"" Category Ki +3 and HP, ATK & DEF +80%",Treasure Hunt Companions,"Activates the Entrance Animation (once only) and ATK & DEF +82% for 4 turns from the character's entry turn when there are another 2 or more ""DB Saga"" or ""Earth-Bred Fighters"" Category allies on the team upon the character's entry, ATK & DEF +77% when performing a Super Attack and within the same turn, ""DB Saga"" Category allies' ATK +30% (self excluded), ""Earth-Bred Fighters"" Category allies' DEF +30% (self excluded) when performing an Ultra Super Attack, Ki +1 plus an additional ATK & DEF +17% and chance of performing a critical hit +7% per ""DB Saga"" Category ally on the team, Plus an additional ATK & DEF +77%, launches an additional attack that has a medium chance of becoming a Super Attack and medium chance of evading enemy's attack (including Super Attack) when there is another ""Earth-Bred Fighters"" Category ally attacking in the same turn",Seductive Attack,"Can be activated when facing only 1 enemy, whose HP is 50% or more, or when all allies attacking in the same turn are Super Class ""DB Saga"" Category characters (once only) Chance of evading enemy's attack (including Super Attack) +30% for 1 turn and disables a single targeted enemy's action once within the turn",Greatly raises ATK & DEF for 1 turn and causes colossal damage to enemy,Greatly raises ATK & DEF for 1 turn and causes mega-colossal damage to enemy; raises Super Class allies' ATK by 30% for 1 turn,"Courage, The Innocents, Infighter, Guidance of the Dragon Balls, The Incredible Adventure, Shattering the Limit, Legendary Power","DB Saga, Youth, Joined Forces, Earth-Bred Fighters, Dragon Ball Seekers",,"May 31, 2024",200%,540%
Base,Frieza (1st Form),Beautiful Final View,"HP 14,785 17,385 | ATK 12,866 15,866 | DEF 9,150 12,550","14,785","17,385","12,866","15,866","9,150","12,550","""Planetary Destruction"" or ""Space-Traveling Warriors"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Inhuman Deeds"" or ""Terrifying Conquerors"" Category",Complete Purge,"Activates the Entrance Animation (once only) and ATK & DEF +100% and launches an additional attack that has a high chance of becoming a Super Attack for 5 turns from the character's entry turn when there are another 2 or more ""Space-Traveling Warriors"" Category allies on the team upon the character's entry, Ki +3 and ATK & DEF +150%, Plus an additional ATK & DEF +150% when attacking, Plus an additional DEF +20% and chance of performing a critical hit +10% per ""Terrifying Conquerors"" Category ally on the team, Plus an additional ATK +100% and launches an additional Super Attack starting from the turn in which the character performs the 5th attack in battle, If there is a ""Pure Saiyans"" Category enemy, launches an additional Super Attack when there is a ""Low-Class Warrior"" Category enemy plus an additional ATK +100% and chance of performing a critical hit +50%",Greatest Show in the Universe,"Can be activated when there is a ""Low-Class Warrior"" Category enemy, when there is a ""Pure Saiyans"" Category enemy starting from the 3rd turn from the start of battle, or starting from the 5th turn from the start of battle (once only) Causes ultimate damage to enemy and disables enemy's action once within the turn","Raises ATK, raises DEF for 1 turn, causes immense damage to enemy and greatly lowers ATK",,"Big Bad Bosses, Frieza's Army, Universeâ€™s Most Malevolent, Strongest Clan in Space, Thirst for Conquest, Fear and Faith, Fierce Battle","Wicked Bloodline, Sworn Enemies, Gifted Warriors, Space-Traveling Warriors, Terrifying Conquerors, Inhuman Deeds, Planetary Destruction",,"May 31, 2024",150%,475%
Base,Ultimate Gohan,Magnificent Ultimate Battle,"HP 19,963 22,563 | ATK 17,190 20,190 | DEF 11,656 15,056","19,963","22,563","17,190","20,190","11,656","15,056","""Majin Buu Saga"" or ""Saviors"" Category Ki +4 and HP, ATK & DEF +150%",Gohan's Evolution,"Activates the Entrance Animation (once only), Ki +6 for the rest of battle and all allies' DEF +58% for 2 turns from the character's entry turn when there are another 2 or more ""Majin Buu Saga"" Category allies on the team upon the character's entry, Ki +3, ATK & DEF +180% and guards all attacks, Randomly changes Ki Spheres of a certain Type (AGL excluded) to AGL Ki Spheres when all allies attacking in the same turn are ""Majin Buu Saga"" Category characters, Plus an additional ATK & DEF +58% when Ki is 12 or more, Plus an additional ATK & DEF +58% and launches an additional attack that has a great chance of becoming a Super Attack when Ki is 18 or more, DEF +20% for ""Majin Buu Saga"" Category allies (self excluded) plus an additional ATK +58% when activating the Active Skill or when Ki is 24, Launches 2 additional attacks, each of which has a medium chance of becoming a Super Attack, when facing only 1 enemy, whose HP is 58% or more, at start of turn",Burst Rush,"Can be activated when facing only 1 enemy, whose HP is 58% or less, or when there is another ""Majin Buu Saga"" Category ally attacking in the same turn starting from the 6th turn from the character's entry turn (once only) Causes ultimate damage to enemy; Ki +24 and DEF +58% for 1 turn","Raises ATK for 3 turns, raises DEF for 1 turn and causes colossal damage to enemy","Raises ATK, raises DEF for 1 turn and causes mega-colossal damage to enemy","Infighter, All in the Family, Cold Judgment, Shocking Speed, Power Bestowed by God, Fierce Battle, Legendary Power","Majin Buu Saga, Hybrid Saiyans, Goku's Family, Kamehameha, Powerful Comeback, Power of Wishes, Demonic Power, Rapid Growth, Bond of Parent and Child, Siblings' Bond, Earth-Bred Fighters, Saviors, Revenge, Entrusted Will",,"May 14, 2024",200%,540%
Base,Cell (Perfect Form) (GT) & Frieza (Final Form) (GT),Grudge That Sweeps Through Hell,"HP 16,196 19,596 | ATK 13,058 16,058 | DEF 11,130 13,730","16,196","19,596","13,058","16,058","11,130","13,730","""Sworn Enemies"" Category Ki +3 and HP, ATK & DEF +130%",Power Acquired in Hell,"Activates the Entrance Animation (once only) and Ki +5, ATK & DEF +40% and medium chance of evading enemy's attack (including Super Attack) for 6 turns from the character's entry turn when there is another ""Sworn Enemies"", ""Revenge"" or ""GT Bosses"" Category ally on the team upon the character's entry, Ki +3 and ATK & DEF +140%, Plus an additional ATK & DEF +70% when attacking, ""Sworn Enemies"", ""Revenge"" or ""GT Bosses"" Category allies' Ki +2 and DEF +30%, High chance of performing a critical hit when there is an enemy whose name includes ""Goku"" (Youth, Captain Ginyu, Jr., etc. excluded), Chance of evading enemy's attack (including Super Attack) +20% and attacks effective against all Types when the target enemy is stunned or the target enemy's Super Attack is sealed, Chance of evading enemy's attack (including Super Attack) +20% and launches an additional Super Attack when the target enemy is in ""ATK Down"" or ""DEF Down"" status",Hell's Buster,"Can be activated when there is an enemy whose name includes ""Goku"" (Youth, Captain Ginyu, Jr., etc. excluded) starting from the 4th turn from the start of battle, or starting from the 6th turn from the start of battle (once only) Greatly raises ATK temporarily, causes ultimate damage to enemy and seals Super Attack for 1 turn",Raises ATK & DEF for 1 turn and causes colossal damage with a high chance of stunning the enemy,Greatly raises ATK & DEF for 1 turn and causes mega-colossal damage to enemy; raises Extreme Class allies' ATK by 30% for 2 turns,"Brutal Beatdown, Shocking Speed, GT, Nightmare, Fear and Faith, Otherworld Warriors, Legendary Power","Transformation Boost, Sworn Enemies, Joined Forces, GT Bosses, Otherworld Warriors, Revenge, Target: Goku",,"May 1, 2024",200%,540%
Base,Majin Buu (Good),The Awakened Ego and Joy of Combat,"HP 15,350 18,350 | ATK 12,100 15,100 | DEF 10,575 13,575","15,350","18,350","12,100","15,100","10,575","13,575","""Majin Buu Saga"", ""Sworn Enemies"" or ""Storied Figures"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Worldwide Chaos"" or ""Resurrected Warriors"" Category",Majin Beyond Comprehension,"Activates the Entrance Animation (once only) and recovers 10% HP at start of character's attacking turn for the rest of battle (recovers an additional 10% HP for 5 turns from the character's entry turn) when there is another ""Majin Buu Saga"" Category ally on the team upon the character's entry, Ki +2 and ATK & DEF +150%, Plus an additional ATK & DEF +150% when performing a Super Attack, Launches an additional attack that has a great chance of becoming a Super Attack, Guards all attacks when HP is 50% or more at start of turn, Recovers 10% HP at the end of turn and if HP is 30% or less at the end of turn, recovers an additional 10% HP, Revives with HP fully recovered when the character is KO'd (once only), Survives K.O. attacks (up to once within a turn), plus an additional ATK & DEF +100%, guards all attacks and launches an additional Super Attack starting from the turn in which the character's or an ally's Revival Skill is activated, Recovers HP with sweet treats",Candy Beam,"Can be activated after the character's Revival Skill is activated, or starting from the 7th turn from the start of battle (once only) Massively raises ATK temporarily, causes ultimate damage to enemy and delays a single targeted enemy's attack for 1 turn; Ki +12 and changes all Ki Spheres to cookies (Ki Spheres with a Dragon Ball excluded) for 1 turn","Raises DEF, greatly raises ATK for 1 turn and causes immense damage to enemy",,"Majin, The Innocents, Kamehameha, Infinite Regeneration, Revival, The Wall Standing Tall, Fierce Battle","Majin Buu Saga, Artificial Life Forms, Transformation Boost, Power Absorption, Kamehameha, Majin Power, Uncontrollable Power, Powerful Comeback, Demonic Power, Sworn Enemies, Gifted Warriors, Resurrected Warriors, Time Travelers, Storied Figures, Legendary Existence, Worldwide Chaos",,"Apr 26, 2024",150%,505%
